latent_topic_0,latent_topic_1,latent_topic_2,latent_topic_3,latent_topic_4,latent_topic_5,latent_topic_6,latent_topic_7,latent_topic_8
0.174,0.234,0.0,0.009,0.174,0.578,0.0,0.0,0.0
0.006,0.031,0.277,0.251,0.0,0.0,0.05,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.029,0.315,0.038,0.0,0.0,0.0,0.046,0.037,0.0
0.036,0.0,0.178,0.209,0.082,0.0,0.173,0.0,0.235
0.0,0.0,0.335,0.0,0.325,0.586,0.0,0.0,0.004
0.223,0.0,0.182,0.312,0.0,0.019,0.0,0.0,0.0
0.0,0.0,0.231,0.0,0.356,0.0,0.0,0.276,0.0
0.0,0.0,0.232,0.003,0.354,0.0,0.0,0.038,0.014
0.017,0.286,0.039,0.0,0.0,0.0,0.244,0.004,0.0
0.316,0.0,0.275,0.237,0.0,0.025,0.0,0.28,0.0
0.013,0.282,0.033,0.0,0.0,0.0,0.294,0.002,0.0
0.0,0.242,0.0,0.0,0.0,0.0,0.155,0.0,0.0
0.007,0.275,0.021,0.0,0.0,0.0,0.381,0.0,0.0
0.336,0.257,0.0,0.0,0.0,0.0,0.343,0.0,0.0
0.145,0.0,0.269,0.0,0.0,0.0,0.355,0.0,0.0
0.0,0.234,0.0,0.002,0.0,0.0,0.24,0.0,0.0
0.101,0.024,0.302,0.289,0.0,0.021,0.018,0.0,0.0
0.158,0.0,0.246,0.31,0.0,0.0,0.0,0.0,0.0
0.424,0.209,0.0,0.211,0.0,0.025,0.184,0.021,0.067
0.013,0.031,0.297,0.0,0.0,0.0,0.039,0.0,0.0
0.404,0.006,0.262,0.0,0.0,0.002,0.0,0.0,0.163
0.368,0.227,0.0,0.0,0.232,0.008,0.0,0.274,0.459
0.015,0.318,0.035,0.0,0.115,0.0,0.055,0.032,0.084
0.491,0.029,0.002,0.0,0.0,0.0,0.012,0.316,0.0
0.299,0.0,0.277,0.0,0.283,0.0,0.0,0.022,0.207
0.353,0.274,0.027,0.0,0.0,0.386,0.078,0.043,0.0
0.413,0.015,0.311,0.0,0.0,0.0,0.01,0.088,0.015
0.0,0.23,0.0,0.001,0.0,0.0,0.279,0.0,0.0
0.044,0.321,0.029,0.0,0.0,0.0,0.045,0.302,0.027
0.0,0.0,0.196,0.295,0.0,0.0,0.0,0.222,0.0
0.0,0.255,0.0,0.0,0.0,0.137,0.0,0.0,0.0
0.0,0.279,0.0,0.0,0.325,0.0,0.384,0.0,0.01
0.323,0.0,0.261,0.0,0.248,0.239,0.0,0.241,0.38
0.296,0.0,0.0,0.001,0.0,0.0,0.0,0.022,0.281
0.006,0.0,0.19,0.402,0.0,0.0,0.0,0.073,0.065
0.359,0.0,0.249,0.0,0.0,0.0,0.138,0.009,0.183
0.0,0.267,0.0,0.0,0.212,0.0,0.0,0.053,0.0
0.43,0.005,0.253,0.0,0.26,0.002,0.0,0.005,0.281
0.0,0.246,0.0,0.008,0.0,0.0,0.106,0.0,0.0
0.0,0.26,0.001,0.0,0.209,0.0,0.036,0.062,0.0
0.0,0.0,0.244,0.0,0.0,0.0,0.075,0.332,0.032
0.501,0.016,0.006,0.0,0.17,0.0,0.01,0.017,0.017
0.457,0.015,0.005,0.0,0.217,0.0,0.007,0.0,0.517
0.0,0.0,0.167,0.41,0.0,0.0,0.108,0.244,0.006
0.065,0.298,0.031,0.0,0.192,0.0,0.041,0.064,0.0
0.091,0.284,0.007,0.003,0.0,0.0,0.387,0.0,0.0
0.453,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.029
0.497,0.012,0.022,0.0,0.0,0.0,0.092,0.036,0.014
0.0,0.301,0.007,0.0,0.33,0.0,0.27,0.0,0.017
0.0,0.0,0.215,0.0,0.338,0.0,0.095,0.224,0.0
0.0,0.239,0.0,0.01,0.0,0.0,0.189,0.01,0.0
0.015,0.259,0.0,0.0,0.209,0.0,0.0,0.355,0.0
0.0,0.03,0.252,0.361,0.185,0.0,0.014,0.238,0.0
0.0,0.281,0.0,0.0,0.0,0.026,0.0,0.0,0.176
0.464,0.012,0.03,0.0,0.172,0.0,0.073,0.0,0.0
0.119,0.035,0.089,0.0,0.282,0.0,0.037,0.0,0.233
